?"index", "key"                                                   , "keySource"                                                             , "text"                                                 , "tag", "frameUrl"                                          , "visible", "locatorSuggested"                                                      , "id", "class"    , "href"              , "onclick", "data_modulo_funcao"     , "data_modulo", "data_funcao"         , "data_href"                                                                                                                                                                                                       , "data_tipo_funcao", "data_tipo_link"
"26"   , "k_79_RBM0018"                                          , "79.RBM0018"                                                            , "Ação Judicial"                                      , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""79.RBM0018""]')"                   ,     , "item-menu", "javascript:void(0)",          , "79.RBM0018"             , "79"         , "RBM0018"             , "/ace/mvcToAsp.asp?../../rbm/asp/rbm0018a.asp$$$p=&PT=Ação Judicial&pm=79&pcf=RBM0018&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                             , "A"               , "link"
"27"   , "k_80_CB35_1_02"                                        , "80.CB35.1.02"                                                          , "Ação Judicial"                                      , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""80.CB35.1.02""]')"                 ,     , "item-menu", "javascript:void(0)",          , "80.CB35.1.02"           , "80"         , "CB35.1.02"           , "/ace/mvcToAsp.asp?../../ger/asp/ger1003a.asp$$$p=&PT=Ação Judicial&pm=80&pcf=CB35.1.02&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,N,N,N,N,N&tipoFuncao=C"                                                           , "C"               , "link"
"28"   , "k_91_WCB35_1_02"                                       , "91.WCB35.1.02"                                                         , "Ação Judicial"                                      , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""91.WCB35.1.02""]')"                ,     , "item-menu", "javascript:void(0)",          , "91.WCB35.1.02"          , "91"         , "WCB35.1.02"          , "/ace/mvcToAsp.asp?../../ger/asp/ger1003a.asp$$$p=&PT=Ação Judicial&pm=91&pcf=WCB35.1.02&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,N,N,N,N,N&tipoFuncao=C"                                                          , "C"               , "link"
"29"   , "k_95_ITF_CONT6"                                        , "95.ITF_CONT6"                                                          , "Ação Judicial do Contrato"                          , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""95.ITF_CONT6""]')"                 ,     , "item-menu", "javascript:void(0)",          , "95.ITF_CONT6"           , "95"         , "ITF_CONT6"           , "/ace/mvcToAsp.asp?../../int/asp/int0004a.asp?id_assunto=138&id_arq=1867&exibeAssunto=N&id_job=154$$$p=&PT=Ação Judicial do Contrato&pm=95&pcf=ITF_CONT6&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&..."   , "X"               , "link"
"30"   , "k_80_CB10_47"                                          , "80.CB10.47"                                                            , "Acerta Vigência Contrato"                            , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""80.CB10.47""]')"                   ,     , "item-menu", "javascript:void(0)",          , "80.CB10.47"             , "80"         , "CB10.47"             , "/ace/mvcToAsp.asp?../../ass/asp/ass0380a.asp?ind_origem=PJ$$$p=&PT=Acerta Vigência Contrato&pm=80&pcf=CB10.47&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                     , "X"               , "link"
"31"   , "k_80_CB15_22"                                          , "80.CB15.22"                                                            , "Acertar Vigência Contrato"                           , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""80.CB15.22""]')"                   ,     , "item-menu", "javascript:void(0)",          , "80.CB15.22"             , "80"         , "CB15.22"             , "/ace/mvcToAsp.asp?../../ass/asp/ass0380a.asp?ind_origem=PF$$$p=&PT=Acertar Vigência Contrato&pm=80&pcf=CB15.22&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                    , "X"               , "link"
"32"   , "k_91_WREC3_6_5"                                        , "91.WREC3-6-5"                                                          , "Acompanha Cobrança"                                  , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""91.WREC3-6-5""]')"                 ,     , "item-menu", "javascript:void(0)",          , "91.WREC3-6-5"           , "91"         , "WREC3-6-5"           , "/ace/mvcToAsp.asp?../../rec/asp/rec1005a.asp$$$p=&PT=Acompanha Cobrança&pm=91&pcf=WREC3-6-5&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                       , "A"               , "link"
"33"   , "k_4_FAT5_3"                                            , "4.FAT5-3"                                                              , "Acompanha Faturamento"                                , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""4.FAT5-3""]')"                     ,     , "item-menu", "javascript:void(0)",          , "4.FAT5-3"               , "4"          , "FAT5-3"              , "/ace/mvcToAsp.asp?../../fat/asp/fat1003a.asp$$$p=&PT=Acompanha Faturamento&pm=4&pcf=FAT5-3&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                         , "A"               , "link"
"34"   , "k_91_WFAT5_3"                                          , "91.WFAT5-3"                                                            , "Acompanha Faturamento"                                , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""91.WFAT5-3""]')"                   ,     , "item-menu", "javascript:void(0)",          , "91.WFAT5-3"             , "91"         , "WFAT5-3"             , "/ace/mvcToAsp.asp?../../fat/asp/fat1003a.asp$$$p=&PT=Acompanha Faturamento&pm=91&pcf=WFAT5-3&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                       , "A"               , "link"
"35"   , "k_7_PAG7_5"                                            , "7.PAG7-5"                                                              , "Acompanha Processamento do Pagamento"                 , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""7.PAG7-5""]')"                     ,     , "item-menu", "javascript:void(0)",          , "7.PAG7-5"               , "7"          , "PAG7-5"              , "/ace/mvcToAsp.asp?../../pag/asp/pag1005a.asp$$$p=&PT=Relatório Acompanha Processamento do Pagamento&pm=7&pcf=PAG7-5&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                               , "A"               , "link"
